iteration,timestamp,current_simulations,replay_buffer_size,training_mode,opponent_games,self_play_games,initial_loss,final_loss,loss_reduction,loss_reduction_pct
3,2025-12-04T16:24:22.941148,25,3174,mixed (self-play + heuristic),25,25,1.787105917930603,1.5215849876403809,0.26552093029022217,14.857593365125485
4,2025-12-04T16:25:49.462833,50,4129,mixed (self-play + heuristic),25,25,1.7277443408966064,1.6185840368270874,0.10916030406951904,6.318081991972882
5,2025-12-04T16:27:15.827024,50,5101,mixed (self-play + heuristic),25,25,1.738189458847046,1.7349070310592651,0.0032824277877807617,0.18884177274656933
6,2025-12-04T16:29:02.535251,50,6094,mixed (self-play + heuristic),25,25,1.9446296691894531,1.5816570520401,0.362972617149353,18.665385132205902
7,2025-12-04T16:30:27.140499,50,7067,mixed (self-play + heuristic),25,25,1.8649524450302124,1.728402018547058,0.1365504264831543,7.321925384587604
8,2025-12-04T16:31:51.814841,50,8031,mixed (self-play + heuristic),25,25,1.7572420835494995,1.8429689407348633,-0.08572685718536377,-4.878488740276572
9,2025-12-04T16:33:16.041608,50,8980,mixed (self-play + heuristic),25,25,1.8225291967391968,1.7855154275894165,0.03701376914978027,2.030901300017798
10,2025-12-04T16:34:36.749603,50,9897,mixed (self-play + heuristic),25,25,1.9618102312088013,1.8602663278579712,0.10154390335083008,5.176030878800248
2,2025-12-04T16:36:32.073203,25,483, heuristic,50,0,1.6216628551483154,1.2105073928833008,0.41115546226501465,25.353942156331303
3,2025-12-04T16:36:44.372528,25,729, heuristic,50,0,1.027431845664978,0.8528064489364624,0.17462539672851562,16.996299799865945
4,2025-12-04T16:37:05.953350,50,970, heuristic,50,0,0.9664480686187744,0.8785564303398132,0.08789163827896118,9.094294989339046
5,2025-12-04T16:37:28.832103,50,1211, heuristic,50,0,0.9291509985923767,0.8326065540313721,0.09654444456100464,10.390608707009438
6,2025-12-04T16:38:13.642019,50,1459, heuristic,50,0,0.8675234317779541,0.859932541847229,0.007590889930725098,0.8750069050201764
7,2025-12-04T16:38:36.923491,50,1697, heuristic,50,0,0.8217288851737976,0.8648594617843628,-0.043130576610565186,-5.248759948537402
8,2025-12-04T16:38:59.448792,50,1944, heuristic,50,0,0.9001954197883606,0.8657658696174622,0.03442955017089844,3.8246751109878963
9,2025-12-04T16:39:22.345115,50,2193, heuristic,50,0,0.7857723236083984,0.6852052807807922,0.1005670428276062,12.798496435428708
10,2025-12-04T16:39:45.881291,50,2440, heuristic,50,0,0.7994252443313599,0.7379734516143799,0.06145179271697998,7.6869967708335665
11,2025-12-04T16:40:49.807127,100,2683, heuristic,50,0,0.8596261739730835,0.8781266808509827,-0.01850050687789917,-2.1521572327645826
